image,annotation,fireextinguisher,chair,exit,clock,trashbin,screen,printer
/home/evgenii/repos/indoor/Dataset/sequence_4/frame_s4_246.jpg,/home/evgenii/repos/indoor/Dataset/annotations_processed/1682.json,0,1,0,0,0,0,0
/home/evgenii/repos/indoor/Dataset/sequence_1/frame_s1_80.jpg,/home/evgenii/repos/indoor/Dataset/annotations_processed/128.json,0,0,1,0,0,0,0
/home/evgenii/repos/indoor/Dataset/sequence_5/frame_s5_106.jpg,/home/evgenii/repos/indoor/Dataset/annotations_processed/1806.json,1,1,0,0,0,0,0
/home/evgenii/repos/indoor/Dataset/sequence_3/frame_s3_25.jpg,/home/evgenii/repos/indoor/Dataset/annotations_processed/688.json,0,1,0,0,1,0,0
/home/evgenii/repos/indoor/Dataset/sequence_5/frame_s5_179.jpg,/home/evgenii/repos/indoor/Dataset/annotations_processed/1886.json,1,0,0,0,0,0,0
/home/evgenii/repos/indoor/Dataset/sequence_4/frame_s4_113.jpg,/home/evgenii/repos/indoor/Dataset/annotations_processed/1536.json,1,0,0,0,0,0,0
/home/evgenii/repos/indoor/Dataset/sequence_1/frame_s1_38.jpg,/home/evgenii/repos/indoor/Dataset/annotations_processed/81.json,1,0,0,0,0,0,0
/home/evgenii/repos/indoor/Dataset/sequence_3/frame_s3_82.jpg,/home/evgenii/repos/indoor/Dataset/annotations_processed/1321.json,0,1,0,0,0,0,0
/home/evgenii/repos/indoor/Dataset/sequence_3/frame_s3_866.jpg,/home/evgenii/repos/indoor/Dataset/annotations_processed/1372.json,1,0,1,0,0,0,0
/home/evgenii/repos/indoor/Dataset/sequence_5/frame_s5_119.jpg,/home/evgenii/repos/indoor/Dataset/annotations_processed/1820.json,0,0,0,0,1,0,0
/home/evgenii/repos/indoor/Dataset/sequence_1/frame_s1_83.jpg,/home/evgenii/repos/indoor/Dataset/annotations_processed/131.json,0,0,0,1,0,0,0
/home/evgenii/repos/indoor/Dataset/sequence_3/frame_s3_92.jpg,/home/evgenii/repos/indoor/Dataset/annotations_processed/1432.json,0,1,0,0,0,0,0
/home/evgenii/repos/indoor/Dataset/sequence_3/frame_s3_1127.jpg,/home/evgenii/repos/indoor/Dataset/annotations_processed/509.json,0,1,0,0,0,0,0
/home/evgenii/repos/indoor/Dataset/sequence_3/frame_s3_1079.jpg,/home/evgenii/repos/indoor/Dataset/annotations_processed/455.json,1,0,0,0,0,0,0
/home/evgenii/repos/indoor/Dataset/sequence_6/frame_s6_177.jpg,/home/evgenii/repos/indoor/Dataset/annotations_processed/2113.json,0,0,0,1,0,0,0
/home/evgenii/repos/indoor/Dataset/sequence_3/frame_s3_573.jpg,/home/evgenii/repos/indoor/Dataset/annotations_processed/1047.json,0,1,0,0,0,0,0
/home/evgenii/repos/indoor/Dataset/sequence_3/frame_s3_521.jpg,/home/evgenii/repos/indoor/Dataset/annotations_processed/990.json,0,1,0,0,0,0,0
/home/evgenii/repos/indoor/Dataset/sequence_5/frame_s5_193.jpg,/home/evgenii/repos/indoor/Dataset/annotations_processed/1902.json,0,0,1,0,0,0,0
/home/evgenii/repos/indoor/Dataset/sequence_5/frame_s5_134.jpg,/home/evgenii/repos/indoor/Dataset/annotations_processed/1837.json,1,0,0,0,0,0,0
/home/evgenii/repos/indoor/Dataset/sequence_3/frame_s3_344.jpg,/home/evgenii/repos/indoor/Dataset/annotations_processed/793.json,1,0,0,0,0,0,0
/home/evgenii/repos/indoor/Dataset/sequence_3/frame_s3_212.jpg,/home/evgenii/repos/indoor/Dataset/annotations_processed/647.json,1,1,0,0,0,0,0
